Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc
group_31147,,hypothetical protein,1,1,1,983,6223,1,2704,,671,671,671
group_31148,,IS110 family transposase ISSm3,1,1,1,983,6224,1,2703,,587,587,587
group_31149,,hypothetical protein,1,1,1,983,1484,1,18666,,89,89,89
lutP_1,,L-lactate permease,1,1,1,983,10010,1,3972,,1094,1094,1094
group_31150,,hypothetical protein,1,1,1,983,1483,1,18665,,737,737,737
group_31151,,hypothetical protein,1,1,1,983,1482,1,18664,,482,482,482
group_31152,,hypothetical protein,1,1,1,983,1481,1,18663,,1133,1133,1133
group_31153,,hypothetical protein,1,1,1,983,1480,1,18662,,1469,1469,1469
group_31154,,hypothetical protein,1,1,1,983,1479,1,18661,,3068,3068,3068
group_31155,,hypothetical protein,1,1,1,983,1478,1,18660,,2714,2714,2714
group_31156,,hypothetical protein,1,1,1,983,1477,1,18659,,1013,1013,1013
group_31157,,hypothetical protein,1,1,1,983,1476,1,18658,,1961,1961,1961
yknY,,putative ABC transporter ATP-binding protein YknY,1,1,1,983,1475,1,18657,,725,725,725
group_31159,,hypothetical protein,1,1,1,983,1474,1,18656,,1214,1214,1214
group_31160,,hypothetical protein,1,1,1,983,1473,1,18655,,1568,1568,1568
group_31161,,IS256 family transposase ISEic2,1,1,1,983,1472,1,18654,,653,653,653
group_31162,,IS3 family transposase ISLad1,1,1,1,983,12517,1,27027,,206,206,206
group_31163,,IS3 family transposase ISEc14,1,1,1,983,12098,1,21738,,587,587,587
group_31164,pinR,Serine recombinase PinR,1,1,1,983,12097,1,21737,,578,578,578
group_31165,,hypothetical protein,1,1,1,983,12096,1,21736,,1631,1631,1631
group_31166,,hypothetical protein,1,1,1,983,27823,1,22510,,140,140,140
group_31173,,hypothetical protein,1,1,1,983,32980,1,12000,,167,167,167
group_31174,intA_2,Prophage integrase IntA,1,1,1,983,4927,1,17599,,1256,1256,1256
group_31175,,hypothetical protein,1,1,1,983,4928,1,17600,,1061,1061,1061
group_31176,,hypothetical protein,1,1,1,983,4929,1,17601,,1484,1484,1484
group_31177,,hypothetical protein,1,1,1,983,4930,1,17602,,350,350,350
group_31178,arsC_2,Arsenate reductase,1,1,1,983,4950,1,17615,,425,425,425
group_31179,,hypothetical protein,1,1,1,983,4949,1,17614,,419,419,419
group_31180,,hypothetical protein,1,1,1,983,4948,1,17613,,329,329,329
group_31181,napF_2,Ferredoxin-type protein NapF,1,1,1,983,4947,1,17612,,539,539,539
group_31182,dmsD_2,Tat proofreading chaperone DmsD,1,1,1,983,4946,1,17611,,593,593,593
dmsC_3,,Anaerobic dimethyl sulfoxide reductase chain C,1,1,1,983,4945,1,17610,,776,776,776
group_31184,dmsB_3,Anaerobic dimethyl sulfoxide reductase chain B,1,1,1,983,4944,1,17609,,626,626,626
group_31185,dmsA_2,Dimethyl sulfoxide reductase DmsA,1,1,1,983,4943,1,17608,,2432,2432,2432
group_31186,,hypothetical protein,1,1,1,983,4942,1,17607,,245,245,245
group_31187,,hypothetical protein,1,1,1,983,4941,1,17606,,635,635,635
group_31188,,hypothetical protein,1,1,1,983,4940,1,17605,,524,524,524
group_31189,fliC_2,Flagellin,1,1,1,983,4939,1,17604,,296,296,296
group_3119,,hypothetical protein,1,1,1,1981,1,2890,1,Investigate,608,608,608
group_31190,,hypothetical protein,1,1,1,983,1284,1,18836,,821,821,821
group_31191,,hypothetical protein,1,1,1,1970,1,2453,1,Investigate,254,254,254
group_31193,,hypothetical protein,1,1,1,983,27701,1,22776,,746,746,746
group_31194,,hypothetical protein,1,1,1,983,27702,1,22777,,818,818,818
group_31195,,hypothetical protein,1,1,1,983,26658,1,28188,,1793,1793,1793
group_31196,,hypothetical protein,1,1,1,983,19159,1,6371,,809,809,809
group_31197,,hypothetical protein,1,1,1,983,19158,1,6370,,569,569,569
group_31198,,hypothetical protein,1,1,1,983,19157,1,6369,,140,140,140
group_31199,,hypothetical protein,1,1,1,983,19156,1,6368,,272,272,272
group_31200,,hypothetical protein,1,1,1,983,19213,1,6358,,419,419,419
group_31201,,hypothetical protein,1,1,1,983,19212,1,6357,,320,320,320
group_31202,,hypothetical protein,1,1,1,983,19211,1,6253,,278,278,278
group_31203,,hypothetical protein,1,1,1,983,19209,1,6248,,380,380,380
group_31204,,hypothetical protein,1,1,1,983,19208,1,6247,,299,299,299
group_31205,,hypothetical protein,1,1,1,983,19207,1,6246,,440,440,440
group_31206,,hypothetical protein,1,1,1,983,19206,1,6245,,191,191,191
group_31207,,hypothetical protein,1,1,1,983,19205,1,6244,,479,479,479
group_31208,,hypothetical protein,1,1,1,983,27297,1,12526,,269,269,269
group_3121,manC1_2,Mannose-1-phosphate guanylyltransferase 1,1,1,1,983,10573,1,15436,,911,911,911
group_31212,,hypothetical protein,1,1,1,983,27156,1,12531,,1013,1013,1013
group_31213,,hypothetical protein,1,1,1,983,27155,1,12530,,569,569,569
group_31214,,hypothetical protein,1,1,1,983,27154,1,12529,,1493,1493,1493
group_31215,,hypothetical protein,1,1,1,983,27278,1,12537,,170,170,170
group_31216,,hypothetical protein,1,1,1,983,27188,1,12509,,353,353,353
group_31217,,hypothetical protein,1,1,1,983,27189,1,12415,,308,308,308
group_31218,,hypothetical protein,1,1,1,983,27190,1,12416,,506,506,506
group_31219,,hypothetical protein,1,1,1,983,27177,1,12420,,3587,3587,3587
group_3122,manC1_1,Mannose-1-phosphate guanylyltransferase 1,1,1,1,983,10563,1,15435,,911,911,911
group_31220,,hypothetical protein,1,1,1,983,27176,1,12421,,833,833,833
group_31221,,hypothetical protein,1,1,1,983,27200,1,12419,,290,290,290
group_31222,,hypothetical protein,1,1,1,983,27199,1,12425,,1511,1511,1511
group_31223,,hypothetical protein,1,1,1,983,27243,1,12483,,842,842,842
group_31224,,hypothetical protein,1,1,1,983,27217,1,12475,,167,167,167
group_31225,,hypothetical protein,1,1,1,983,27218,1,12474,,182,182,182
group_31226,,hypothetical protein,1,1,1,983,6349,1,6560,,1394,1394,1394
group_31227,,hypothetical protein,1,1,1,2737,1,3753,1,Investigate,806,806,806
group_31233,,hypothetical protein,1,1,1,983,26193,1,24334,,281,281,281
group_31234,,hypothetical protein,1,1,1,983,26194,1,24333,,239,239,239
group_31242,,hypothetical protein,1,1,1,983,28215,1,24986,,791,791,791
group_31243,,hypothetical protein,1,1,1,983,28218,1,3625,,608,608,608
group_31244,,hypothetical protein,1,1,1,983,28217,1,3626,,1421,1421,1421
group_31246,,IS110 family transposase ISEc81,1,1,1,983,13671,1,8521,,1025,1025,1025
group_31247,,hypothetical protein,1,1,1,983,13672,1,8522,,143,143,143
group_31258,,hypothetical protein,1,1,1,983,26727,1,19187,,734,734,734
group_31259,,hypothetical protein,1,1,1,983,26726,1,19188,,710,710,710
group_31260,,hypothetical protein,1,1,1,983,26725,1,19189,,260,260,260
group_31261,,hypothetical protein,1,1,1,983,26724,1,19190,,212,212,212
group_31262,,hypothetical protein,1,1,1,983,26723,1,19191,,491,491,491
group_31263,,hypothetical protein,1,1,1,983,26722,1,19192,,986,986,986
group_31265,,hypothetical protein,1,1,1,983,11575,1,19768,,362,362,362
group_31266,,hypothetical protein,1,1,1,983,11574,1,19769,,998,998,998
group_31267,,hypothetical protein,1,1,1,983,11612,1,19729,,311,311,311
group_31268,,hypothetical protein,1,1,1,983,11580,1,19757,,191,191,191
group_31269,,hypothetical protein,1,1,1,983,11581,1,19755,,269,269,269
group_31270,,hypothetical protein,1,1,1,983,11582,1,19754,,623,623,623
group_31271,,hypothetical protein,1,1,1,983,11031,1,2059,,263,263,263
group_31272,,hypothetical protein,1,1,1,983,11032,1,2061,,218,218,218
group_31273,,hypothetical protein,1,1,1,983,11035,1,2060,,206,206,206
group_31274,,hypothetical protein,1,1,1,983,11034,1,2071,,767,767,767
group_31275,,hypothetical protein,1,1,1,983,11033,1,2072,,488,488,488
group_31276,,hypothetical protein,1,1,1,983,31011,1,19636,,5531,5531,5531
group_31277,,hypothetical protein,1,1,1,983,30983,1,19665,,671,671,671
group_31279,,hypothetical protein,1,1,1,983,30984,1,19651,,92,92,92
group_3128,manC1,Mannose-1-phosphate guanylyltransferase 1,1,1,1,983,10567,1,16029,,1097,1097,1097
group_31280,,hypothetical protein,1,1,1,983,33236,1,16629,,479,479,479
group_31281,,hypothetical protein,1,1,1,983,11638,1,16620,,239,239,239
group_31282,,hypothetical protein,1,1,1,983,11639,1,16619,,338,338,338
group_31283,,hypothetical protein,1,1,1,983,11644,1,16612,,281,281,281
group_31284,,hypothetical protein,1,1,1,983,11655,1,16601,,362,362,362
group_31285,,hypothetical protein,1,1,1,983,11630,1,19709,,104,104,104
group_31286,,hypothetical protein,1,1,1,983,3860,1,17585,,1172,1172,1172
group_31287,,hypothetical protein,1,1,1,983,20266,1,3423,,113,113,113
group_31290,,hypothetical protein,1,1,1,983,5559,1,3427,,626,626,626
group_31291,,hypothetical protein,1,1,1,983,5560,1,3426,,371,371,371
group_31292,,hypothetical protein,1,1,1,983,5556,1,17292,,416,416,416
group_31293,shlB,Hemolysin transporter protein ShlB,1,1,1,983,13653,1,8502,,1661,1661,1661
group_31294,der_3,GTPase Der,1,1,1,983,13652,1,8501,,875,875,875
group_31295,,hypothetical protein,1,1,1,983,13651,1,8500,,707,707,707
group_3132,manC1_2,Mannose-1-phosphate guanylyltransferase 1,1,1,1,2438,1,2985,1,Investigate,653,653,653
group_31339,,hypothetical protein,1,1,1,983,32438,1,16130,,218,218,218
group_3134,manC1_2,Mannose-1-phosphate guanylyltransferase 1,1,1,1,2759,1,3525,1,Investigate,743,743,743
group_31340,,hypothetical protein,1,1,1,1123,4,1772,4,,236,236,236
group_31341,,hypothetical protein,1,1,1,1123,3,1772,3,,536,536,536
group_31342,,hypothetical protein,1,1,1,1123,2,1772,2,,572,572,572
cah,,Carbonic anhydrase,1,1,1,1123,1,1772,1,,725,725,725
group_31346,,hypothetical protein,1,1,1,983,11667,1,19707,,185,185,185
group_31347,,hypothetical protein,1,1,1,983,799,1,10637,,104,104,104
group_3135,manC1_1,Mannose-1-phosphate guanylyltransferase 1,1,1,1,1669,2,2511,2,Investigate,653,653,653
group_31351,,hypothetical protein,1,1,1,956,5,974,7,,4922,4922,4922
group_31353,,hypothetical protein,1,1,1,956,6,974,2,,131,131,131
group_31354,,hypothetical protein,1,1,1,983,11532,1,11219,,392,392,392
group_31355,,hypothetical protein,1,1,1,1746,1,2144,1,Investigate,353,353,353
group_31356,,hypothetical protein,1,1,1,983,34443,1,11339,,317,317,317
group_31359,,hypothetical protein,1,1,1,983,34439,1,11336,,407,407,407
group_31360,,hypothetical protein,1,1,1,983,34436,1,11335,,578,578,578
group_31361,,hypothetical protein,1,1,1,983,34427,1,11332,,707,707,707
group_31362,,hypothetical protein,1,1,1,983,34428,1,11331,,2117,2117,2117
group_31363,,hypothetical protein,1,1,1,983,34429,1,11330,,905,905,905
group_31364,,hypothetical protein,1,1,1,983,34430,1,11329,,314,314,314
group_31365,,hypothetical protein,1,1,1,983,34431,1,11328,,194,194,194
group_31366,,hypothetical protein,1,1,1,983,34432,1,11327,,191,191,191
group_31367,repA,Replication initiation protein,1,1,1,983,34446,1,11353,,1055,1055,1055
group_3137,manC1_1,Mannose-1-phosphate guanylyltransferase 1,1,1,1,983,32308,1,16093,,743,743,743
group_31375,,hypothetical protein,1,1,1,983,9850,1,23871,,326,326,326
group_31376,,hypothetical protein,1,1,1,983,32691,1,19507,,434,434,434
group_31378,phnG,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG,1,1,1,983,3109,,,,272,272,272
group_31380,,hypothetical protein,1,1,1,983,17538,1,12650,,200,200,200
group_31381,,hypothetical protein,1,1,1,983,5442,1,3684,,260,260,260
group_31382,,hypothetical protein,1,1,1,1774,1,2644,1,Investigate,356,356,356
group_31383,,hypothetical protein,1,1,1,1771,1,2642,1,Investigate,389,389,389
group_31384,,hypothetical protein,1,1,1,1769,1,2632,1,Investigate,338,338,338
group_31385,,hypothetical protein,1,1,1,983,31904,3677,1,,374,374,374
group_31387,,hypothetical protein,1,1,1,983,2528,1,16452,,404,404,404
group_31388,,hypothetical protein,1,1,1,983,800,1,16632,,284,284,284
group_31391,hin_3,DNA-invertase hin,1,1,1,983,816,1,16914,,647,647,647
group_31393,,hypothetical protein,1,1,1,1864,1,2526,1,Investigate,110,110,110
group_31394,,hypothetical protein,1,1,1,1863,1,2525,1,Investigate,596,596,596
group_31396,hisB_2,Histidine biosynthesis bifunctional protein HisB,1,1,1,1862,1,2524,1,Investigate,200,200,200
group_314,,hypothetical protein,1,1,1,1176,1,1907,1,Investigate,89,89,89
group_31400,,hypothetical protein,1,1,1,983,10849,1,7939,,296,296,296
group_31411,,hypothetical protein,1,1,1,983,14861,1,267,,2036,2036,2036
group_31412,,hypothetical protein,1,1,1,983,14941,1,29187,,701,701,701
group_3142,,hypothetical protein,1,1,1,983,21866,1,25134,,1319,1319,1319
group_31422,,hypothetical protein,1,1,1,983,35246,1,14886,,107,107,107
group_31423,,hypothetical protein,1,1,1,983,35245,1,14885,,311,311,311
group_3146,,hypothetical protein,1,1,1,983,21927,1,25158,,1319,1319,1319
group_3147,,hypothetical protein,1,1,1,983,21299,1,25137,,701,701,701
group_31470,,hypothetical protein,1,1,1,983,17201,1,18051,,164,164,164
group_31471,,hypothetical protein,1,1,1,983,17202,1,18052,,359,359,359
group_31472,,hypothetical protein,1,1,1,983,17203,1,18053,,812,812,812
group_31473,,hypothetical protein,1,1,1,983,17204,1,18054,,809,809,809
group_31474,,hypothetical protein,1,1,1,983,17205,1,18055,,224,224,224
group_31475,,hypothetical protein,1,1,1,983,17206,1,18056,,251,251,251
group_31476,,hypothetical protein,1,1,1,983,17207,1,18057,,209,209,209
group_31477,,hypothetical protein,1,1,1,983,17208,1,18058,,1076,1076,1076
group_31478,,hypothetical protein,1,1,1,983,17209,1,18059,,566,566,566
group_31479,,hypothetical protein,1,1,1,983,17212,1,18061,,326,326,326
group_3148,,hypothetical protein,1,1,1,983,21872,1,28382,,1319,1319,1319
group_31480,,hypothetical protein,1,1,1,983,17213,1,18062,,485,485,485
group_31481,,hypothetical protein,1,1,1,983,17214,1,18063,,185,185,185
group_31482,,hypothetical protein,1,1,1,983,17215,1,18064,,857,857,857
group_31483,intA_1,Prophage integrase IntA,1,1,1,983,17216,1,18065,,1169,1169,1169
group_31500,wzc_2,Tyrosine-protein kinase wzc,1,1,1,1631,2,2410,1,,797,797,797
wzb_2,,Low molecular weight protein-tyrosine-phosphatase Wzb,1,1,1,1631,3,2410,2,,428,428,428
group_31502,,hypothetical protein,1,1,1,1631,4,2410,3,,764,764,764
group_31503,,hypothetical protein,1,1,1,1631,5,2410,4,,383,383,383
group_31504,wbbD,"UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase",1,1,1,1631,1,2410,5,,794,794,794
group_31511,,hypothetical protein,1,1,1,983,20867,1,22013,,941,941,941
group_31513,prsF,Minor fimbrial protein PrsF,1,1,1,983,11815,1,21797,,503,503,503
group_31514,,hypothetical protein,1,1,1,983,8174,1,15447,,2333,2333,2333
group_31515,,hypothetical protein,1,1,1,983,8650,1,23954,,203,203,203
group_31526,,hypothetical protein,1,1,1,983,8798,1,5948,,107,107,107
group_31527,,hypothetical protein,1,1,1,983,16319,1,4868,,242,242,242
group_31528,yedY1,Putative protein-methionine-sulfoxide reductase subunit YedZ1,1,1,1,983,16320,1,4869,,770,770,770
group_31529,yedZ1,Putative protein-methionine-sulfoxide reductase subunit YedZ1,1,1,1,983,16321,1,4870,,599,599,599
phoP_2,,Alkaline phosphatase synthesis transcriptional regulatory protein PhoP,1,1,1,983,16322,1,4871,,719,719,719
sasA_2,,Adaptive-response sensory-kinase SasA,1,1,1,983,16323,1,4872,,1472,1472,1472
group_31532,,hypothetical protein,1,1,1,983,16327,1,4866,,266,266,266
group_31534,fdhF_2,Formate dehydrogenase H,1,1,1,983,2883,2243,1,,773,773,773
group_31535,,hypothetical protein,1,1,1,983,17034,,,,314,314,314
group_31550,,IS1 family transposase IS1N,1,1,1,1730,4,2548,6,,356,356,356
group_31551,,hypothetical protein,1,1,1,1730,5,2548,5,,164,164,164
group_31553,,hypothetical protein,1,1,1,983,9734,1,23772,,389,389,389
group_31560,,hypothetical protein,1,1,1,983,5313,1,2853,,2720,2720,2720
group_31562,,hypothetical protein,1,1,1,983,29772,1,12968,,680,680,680
group_31575,,hypothetical protein,1,1,1,983,28257,1,24556,,1316,1316,1316
group_31576,ghxP,Guanine/hypoxanthine permease GhxP,1,1,1,983,3064,3524,1,,1172,1172,1172
group_31577,,hypothetical protein,1,1,1,983,23394,1,27022,,533,533,533
group_31578,,hypothetical protein,1,1,1,983,23393,1,27023,,923,923,923
group_31579,,hypothetical protein,1,1,1,983,23392,1,27024,,1379,1379,1379
group_3158,,hypothetical protein,1,1,1,2154,1,2756,1,Investigate,746,746,746
group_31580,dsdA_2,D-serine dehydratase,1,1,1,983,18668,,,,143,143,143
group_31583,,hypothetical protein,1,1,1,983,28807,1,27418,,437,437,437
group_31584,,hypothetical protein,1,1,1,983,28806,1,27417,,1091,1091,1091
group_31585,,hypothetical protein,1,1,1,983,28805,1,27416,,488,488,488
group_31588,,hypothetical protein,1,1,1,983,22427,1,18371,,182,182,182
group_31589,,hypothetical protein,1,1,1,983,18794,1,29431,,1085,1085,1085
group_31590,repA_1,Regulatory protein RepA,1,1,1,983,18795,1,29432,,866,866,866
group_31591,yjgL,putative protein YjgL,1,1,1,983,2762,2659,1,,1862,1862,1862
group_31593,,hypothetical protein,1,1,1,983,1740,1,17432,,218,218,218
group_31594,,hypothetical protein,1,1,1,983,12690,1,23471,,116,116,116
group_31595,,hypothetical protein,1,1,1,983,12761,1,23448,,452,452,452
group_31596,,hypothetical protein,1,1,1,983,1256,1,18828,,524,524,524
group_31598,,hypothetical protein,1,1,1,983,33678,1,8594,,323,323,323
group_31599,,hypothetical protein,1,1,1,983,33682,1,8599,,563,563,563
group_31600,,hypothetical protein,1,1,1,983,33681,1,8598,,323,323,323
group_31601,,hypothetical protein,1,1,1,983,35247,1,8597,,248,248,248
group_31602,,hypothetical protein,1,1,1,983,32779,1,11077,,758,758,758
group_31603,,hypothetical protein,1,1,1,983,32791,1,11063,,791,791,791
group_31604,,hypothetical protein,1,1,1,983,32790,1,11064,,620,620,620
group_31605,,hypothetical protein,1,1,1,983,32789,1,11065,,2855,2855,2855
group_31606,,hypothetical protein,1,1,1,983,32776,1,12110,,332,332,332
group_31608,,hypothetical protein,1,1,1,983,32773,1,12103,,416,416,416
group_31609,traV_2,Protein TraV,1,1,1,983,32772,1,12104,,512,512,512
group_3161,,hypothetical protein,1,1,1,983,21982,1,28402,,1319,1319,1319
group_31610,,hypothetical protein,1,1,1,983,32771,1,12130,,521,521,521
group_31611,,hypothetical protein,1,1,1,983,32770,1,12131,,410,410,410
group_31612,,hypothetical protein,1,1,1,983,32767,1,12099,,206,206,206
group_31613,,hypothetical protein,1,1,1,983,32766,1,12098,,728,728,728
group_31614,,hypothetical protein,1,1,1,983,32840,1,12142,,113,113,113
group_31618,,hypothetical protein,1,1,1,983,10761,1,2480,,4934,4934,4934
group_31621,,hypothetical protein,1,1,1,983,17277,1,17454,,182,182,182
group_31622,,hypothetical protein,1,1,1,983,5537,1,17488,,341,341,341
group_31623,smf-1,Major fimbrial subunit SMF-1,1,1,1,983,1351,1,18524,,542,542,542
group_31624,,hypothetical protein,1,1,1,983,1422,1,18627,,152,152,152
group_31625,,hypothetical protein,1,1,1,983,5646,1,5591,,227,227,227
group_31626,,hypothetical protein,1,1,1,983,13272,1,22380,,392,392,392
group_31628,,hypothetical protein,1,1,1,1783,1,2655,1,Investigate,296,296,296
group_31629,recD_2,RecBCD enzyme subunit RecD,1,1,1,1795,1,2649,1,Investigate,254,254,254
group_31630,prmC_2,Release factor glutamine methyltransferase,1,1,1,1795,2,2649,2,Investigate,515,515,515
dapB_2,,4-hydroxy-tetrahydrodipicolinate reductase,1,1,1,1789,1,2651,1,Investigate,305,305,305
group_31632,,hypothetical protein,1,1,1,1794,2,2650,1,Investigate,308,308,308
group_31633,,hypothetical protein,1,1,1,1794,1,2650,2,Investigate,500,500,500
lepA_2,,Elongation factor 4,1,1,1,1784,1,2648,1,Investigate,758,758,758
group_31635,,hypothetical protein,1,1,1,1785,1,2652,1,Investigate,221,221,221
group_31636,,hypothetical protein,1,1,1,1790,1,2653,1,Investigate,641,641,641
group_3164,,hypothetical protein,1,1,1,2698,1,3711,1,Investigate,284,284,284
group_3166,,hypothetical protein,1,1,1,2377,1,3174,1,Investigate,1319,1319,1319
group_3167,,hypothetical protein,1,1,1,2378,1,3173,1,Investigate,1319,1319,1319
group_31682,,hypothetical protein,1,1,1,467,1,428,1,Investigate,581,581,581
group_31684,,hypothetical protein,1,1,1,983,29814,1,29580,,449,449,449
group_31685,,hypothetical protein,1,1,1,983,29813,1,29581,,440,440,440
group_31687,,hypothetical protein,1,1,1,983,11404,1,17290,,104,104,104
group_31688,,hypothetical protein,1,1,1,983,11403,1,17291,,284,284,284
group_31689,,hypothetical protein,1,1,1,983,11401,1,17294,,419,419,419
group_31690,,hypothetical protein,1,1,1,983,32602,1,10108,,221,221,221
group_31691,,hypothetical protein,1,1,1,983,32601,1,10045,,224,224,224
group_31692,,hypothetical protein,1,1,1,983,18295,1,9963,,665,665,665
group_31693,,hypothetical protein,1,1,1,983,33334,1,11184,,308,308,308
group_31694,,hypothetical protein,1,1,1,983,33278,1,11160,,143,143,143
group_31698,,hypothetical protein,1,1,1,983,32894,1,10137,,227,227,227
group_31699,,hypothetical protein,1,1,1,983,32885,1,10136,,185,185,185
group_31700,,hypothetical protein,1,1,1,983,32886,1,10139,,410,410,410
group_31701,traV,Protein TraV,1,1,1,983,32887,1,10140,,599,599,599
group_31706,traN,Mating pair stabilization protein TraN,1,1,1,983,32878,1,10167,,1838,1838,1838
group_31709,,hypothetical protein,1,1,1,983,32868,1,10147,,173,173,173
group_31710,,hypothetical protein,1,1,1,983,35215,1,15221,,116,116,116
group_31711,,hypothetical protein,1,1,1,983,35324,1,15259,,257,257,257
group_31712,caf1M,Chaperone protein caf1M,1,1,1,983,35327,1,15258,,743,743,743
group_31713,,hypothetical protein,1,1,1,983,35323,1,15263,,536,536,536
group_31714,,hypothetical protein,1,1,1,983,12066,1,21777,,788,788,788
group_31715,,hypothetical protein,1,1,1,983,12067,1,21778,,143,143,143
group_31716,papB,Major pilu subunit operon regulatory protein PapB,1,1,1,983,6875,1,9870,,299,299,299
group_31718,,hypothetical protein,1,1,1,983,32857,1,10160,,452,452,452
group_31721,,hypothetical protein,1,1,1,983,32865,1,10157,,92,92,92
group_31722,,hypothetical protein,1,1,1,2740,1,3750,6,,824,824,824
group_31723,,hypothetical protein,1,1,1,2740,8,3750,7,,536,536,536
group_31724,,hypothetical protein,1,1,1,2740,7,3750,8,,914,914,914
group_31725,,hypothetical protein,1,1,1,2740,6,3750,5,,398,398,398
group_31726,,hypothetical protein,1,1,1,2740,5,3750,4,,191,191,191
group_31727,,hypothetical protein,1,1,1,2740,4,3750,3,,701,701,701
group_31728,,hypothetical protein,1,1,1,2740,3,3750,2,,125,125,125
group_31729,,hypothetical protein,1,1,1,2740,2,3750,1,,263,263,263
group_31735,,hypothetical protein,1,1,1,983,5425,1,3873,,422,422,422
group_31736,,hypothetical protein,1,1,1,983,5424,1,3872,,92,92,92
group_31737,,hypothetical protein,1,1,1,983,5423,1,3871,,164,164,164
group_31738,,hypothetical protein,1,1,1,983,32852,1,12089,,218,218,218
group_31742,,hypothetical protein,1,1,1,983,33570,1,11156,,254,254,254
group_31743,,hypothetical protein,1,1,1,983,34215,1,9718,,167,167,167
group_31745,,hypothetical protein,1,1,1,983,32189,1,10665,,143,143,143
group_31746,,hypothetical protein,1,1,1,2087,1,3078,1,Investigate,275,275,275
group_318,,hypothetical protein,1,1,1,983,30762,1,13996,,5663,5663,5663
group_3180,,hypothetical protein,1,1,1,983,17796,1,12621,,1061,1061,1061
group_3181,,hypothetical protein,1,1,1,983,17798,1,13502,,545,545,545
group_31813,,hypothetical protein,1,1,1,983,7303,1,7000,,653,653,653
group_31840,,hypothetical protein,1,1,1,2059,1,2828,1,Investigate,734,734,734
group_31842,,hypothetical protein,1,1,1,983,27869,1,22733,,977,977,977
group_31843,,hypothetical protein,1,1,1,983,27868,1,22734,,737,737,737
group_31844,,hypothetical protein,1,1,1,983,27867,1,22735,,524,524,524
group_31845,,hypothetical protein,1,1,1,983,4691,2981,1,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,557,557,557
group_31850,,hypothetical protein,1,1,1,983,2261,1,16309,,470,470,470
group_31851,,hypothetical protein,1,1,1,983,26656,1,28038,,2291,2291,2291
group_31852,,hypothetical protein,1,1,1,983,34241,1,9697,,746,746,746
group_31853,,hypothetical protein,1,1,1,983,30410,1,14004,,233,233,233
group_31854,,hypothetical protein,1,1,1,2161,1,2975,1,Investigate,212,212,212
group_31855,,IS110 family transposase ISWpi13,1,1,1,983,8205,1,4374,,1340,1340,1340
group_31856,,hypothetical protein,1,1,1,983,25235,3326,1,,206,206,206
group_31857,,hypothetical protein,1,1,1,983,15590,1,12336,,3797,3797,3797
group_31866,tagD,Glycerol-3-phosphate cytidylyltransferase,1,1,1,983,16015,1,5398,,392,392,392
group_31867,vioB,"dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase",1,1,1,983,16016,1,5399,,581,581,581
group_31868,vioA,"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase",1,1,1,983,16017,1,5400,,1100,1100,1100
group_31869,,hypothetical protein,1,1,1,983,16018,1,5401,,620,620,620
group_31870,,hypothetical protein,1,1,1,983,16003,1,5121,,221,221,221
group_31871,,hypothetical protein,1,1,1,983,16002,1,5122,,200,200,200
group_31872,,hypothetical protein,1,1,1,983,16360,1,5123,,1853,1853,1853
group_319,,hypothetical protein,1,1,1,983,27120,1,13999,,311,311,311
group_31904,,hypothetical protein,1,1,1,983,10335,1,15704,,872,872,872
group_31905,tagF,Teichoic acid poly(glycerol phosphate) polymerase,1,1,1,983,10336,1,15705,,1187,1187,1187
group_31906,wbbD,"UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase",1,1,1,983,10337,1,15706,,830,830,830
group_31907,wzzB,Chain length determinant protein,1,1,1,983,10542,1,15903,,980,980,980
group_31908,,hypothetical protein,1,1,1,2695,1,3784,1,Investigate,527,527,527
group_31909,,hypothetical protein,1,1,1,983,17414,1,749,,191,191,191
group_31911,,hypothetical protein,1,1,1,983,17179,1,29120,,596,596,596
group_31934,,hypothetical protein,1,1,1,983,19282,1,6356,,2375,2375,2375
group_31935,,hypothetical protein,1,1,1,983,19283,1,6355,,458,458,458
group_31936,,hypothetical protein,1,1,1,983,19284,1,6354,,533,533,533
group_31937,,hypothetical protein,1,1,1,983,19285,1,6353,,404,404,404
ppiB_2,,Peptidyl-prolyl cis-trans isomerase B,1,1,1,983,19286,1,6352,,497,497,497
group_31939,,hypothetical protein,1,1,1,983,19287,1,6351,,287,287,287
group_31940,,hypothetical protein,1,1,1,983,19288,1,6350,,440,440,440
group_31941,,hypothetical protein,1,1,1,983,19289,1,6349,,245,245,245
group_31942,,hypothetical protein,1,1,1,983,19290,1,6348,,299,299,299
group_31943,,hypothetical protein,1,1,1,983,19291,1,6347,,395,395,395
group_31944,,hypothetical protein,1,1,1,983,19292,1,6346,,176,176,176
group_31945,,hypothetical protein,1,1,1,983,19260,1,6264,,620,620,620
